'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOPETOUN NORTH Western Australia for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOPETOUN NORTH,01/04/2023, , , , , , , , ,10.78
HOPETOUN NORTH,03/04/2023, , , , , , , , ,14.38
HOPETOUN NORTH,04/04/2023, , , , , , , , ,18.03
HOPETOUN NORTH,05/04/2023, , , ,22.6, ,89,48,7.21,12.19
HOPETOUN NORTH,06/04/2023,3.4,0.6, ,22.0,16.4,83,60,4.91,15.32
HOPETOUN NORTH,07/04/2023,3.0,0.2, ,20.7,11.1,94,50,3.49,15.65
HOPETOUN NORTH,08/04/2023,1.1,14.6, ,16.0,13.1,99,84,2.73,5.35
HOPETOUN NORTH,09/04/2023,1.9,8.6, ,20.6,13.7,99,73,2.61,11.13
HOPETOUN NORTH,10/04/2023,4.3,0.2, ,28.5,11.2,100,35,3.83,16.19
HOPETOUN NORTH,11/04/2023,3.6,1.4, ,24.1,13.9,94,48,4.72,15.79
HOPETOUN NORTH,12/04/2023,3.1,0.0, ,25.3,14.2,94,47,3.09,13.09
HOPETOUN NORTH,13/04/2023,4.3,0.0, ,26.0,12.5,96,37,5.19,14.09
HOPETOUN NORTH,14/04/2023,3.2,2.2, ,17.1,10.1,92,50,8.17,15.28
HOPETOUN NORTH,15/04/2023,2.9,0.4, ,20.2,9.9,86,58,4.30,16.10
HOPETOUN NORTH,16/04/2023,3.5,0.0, ,24.5,14.3,87,40,3.47,14.98
HOPETOUN NORTH,17/04/2023,4.6,0.0, ,27.0,12.7,92,37,5.40,15.86
HOPETOUN NORTH,18/04/2023,3.3,0.8, ,19.7,15.5,67,46,4.25,10.88
HOPETOUN NORTH,19/04/2023,2.7,0.0, ,20.7,10.9,83,45,2.44,15.65
HOPETOUN NORTH,20/04/2023,3.4,0.0, ,24.1,6.0,96,31,2.99,15.88
HOPETOUN NORTH,21/04/2023,4.1,0.0, ,26.8,9.6,76,26,3.23,15.66
HOPETOUN NORTH,22/04/2023,3.2,0.0, ,25.4,9.7,90,33,2.30,15.49
HOPETOUN NORTH,23/04/2023,5.1,0.0, ,31.1,10.3,83,13,3.41,13.89
HOPETOUN NORTH,24/04/2023, ,0.0, , ,14.4,73,34,4.48,11.22
HOPETOUN NORTH,25/04/2023, ,0.0, , , ,100,35,5.19,14.28
HOPETOUN NORTH,26/04/2023,2.6,2.2, ,19.9,13.1,94,65,7.16,12.63
HOPETOUN NORTH,27/04/2023, ,9.8, , ,12.5,97,63,6.07,6.83
HOPETOUN NORTH,28/04/2023, , , , , ,100,65,3.51,9.00
HOPETOUN NORTH,29/04/2023, , , ,20.3, ,88,55,3.54,13.66
HOPETOUN NORTH,30/04/2023,2.4,0.2, ,21.7,9.7,94,48,2.40,14.22
Totals:,,65.7,41.2, ,,,,,, 
