'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORSEMAN AERO Western Australia for November 2023,,,,,,,,,,
Issued at 06:31 GMT on Saturday 04 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORSEMAN AERO,28/10/2023,5.1,0.0, ,25.0,4.1,80,20,2.28,26.79
NORSEMAN AERO,29/10/2023,6.6,0.0, ,26.3,6.3,82,23,5.24,25.97
NORSEMAN AERO,30/10/2023,4.4,0.0, ,21.3,7.9,80,30,3.74,18.37
NORSEMAN AERO,31/10/2023,5.7,0.0, ,25.6,5.3,86,25,3.49,26.40
NORSEMAN AERO,01/11/2023,7.0,0.0, ,28.8,11.4,78,20,4.17,27.40
NORSEMAN AERO,02/11/2023,6.5,0.0, ,28.4,10.9,83,26,3.79,27.49
NORSEMAN AERO,03/11/2023,6.9,0.0, ,28.3,9.6,80,20,4.37,27.11
Totals:,,42.2,0, ,,,,,, 
