'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BUSSELTON AERO Western Australia for November 2023,,,,,,,,,,
Issued at 06:31 GMT on Saturday 04 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BUSSELTON AERO,28/10/2023,4.3,0.0, ,21.4,3.3,95,43,3.43,25.82
BUSSELTON AERO,29/10/2023,4.3,0.0, ,22.8,9.6,94,45,3.81,22.02
BUSSELTON AERO,30/10/2023,3.5,0.4, ,20.3,5.1,95,44,3.89,15.65
BUSSELTON AERO,31/10/2023,5.6,0.0, ,25.7,6.4,99,35,4.45,26.70
BUSSELTON AERO,01/11/2023,6.7,0.0, ,29.4,8.3,97,29,4.71,26.93
BUSSELTON AERO,02/11/2023,6.9,0.0, ,30.0,10.3,95,31,5.28,26.28
BUSSELTON AERO,03/11/2023,8.3,0.0, ,32.4,13.7,72,26,5.94,25.52
Totals:,,39.6,0.4, ,,,,,, 
