'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TROUGHTON ISLAND Western Australia for August 2023,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 September 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TROUGHTON ISLAND,01/08/2023, , , , , , , , ,21.39
TROUGHTON ISLAND,02/08/2023, , , , , , , , ,21.46
TROUGHTON ISLAND,03/08/2023, , , , , , , , ,21.53
TROUGHTON ISLAND,04/08/2023, , , , , , , , ,21.55
TROUGHTON ISLAND,05/08/2023, , , , , , , , ,21.64
TROUGHTON ISLAND,06/08/2023, , , , , , , , ,21.68
TROUGHTON ISLAND,07/08/2023, , , , , , , , ,21.69
TROUGHTON ISLAND,08/08/2023, , , , , , , , ,21.81
TROUGHTON ISLAND,09/08/2023, , , , , , , , ,21.88
TROUGHTON ISLAND,10/08/2023, , , , , , , , ,21.96
TROUGHTON ISLAND,11/08/2023, , , , , , , , ,22.04
TROUGHTON ISLAND,12/08/2023, , , , , , , , ,21.97
TROUGHTON ISLAND,13/08/2023, , , , , , , , ,22.10
TROUGHTON ISLAND,14/08/2023, , , , , , , , ,22.26
TROUGHTON ISLAND,15/08/2023, , , , , , , , ,22.49
TROUGHTON ISLAND,16/08/2023, , , , , , , , ,22.49
TROUGHTON ISLAND,17/08/2023, , , , , , , , ,22.66
TROUGHTON ISLAND,18/08/2023, , , , , , , , ,22.75
TROUGHTON ISLAND,19/08/2023, , , , , , , , ,22.80
TROUGHTON ISLAND,20/08/2023, , , , , , , , ,22.78
TROUGHTON ISLAND,21/08/2023, , , , , , , , ,22.97
TROUGHTON ISLAND,22/08/2023, , , , , , , , ,23.06
TROUGHTON ISLAND,23/08/2023,4.4, , ,29.8,22.4,90,43,1.13,23.12
TROUGHTON ISLAND,24/08/2023,3.9,0.0, ,30.8,22.9,92,37,0.00,23.21
TROUGHTON ISLAND,25/08/2023,4.0,0.0, ,32.4,23.8,86,35,0.00,23.31
TROUGHTON ISLAND,26/08/2023,3.9,0.0, ,31.4,22.0,82,34,0.00,23.38
TROUGHTON ISLAND,27/08/2023,3.8,0.0, ,30.1,21.3,84,38,0.00,23.43
TROUGHTON ISLAND,28/08/2023,4.0,0.0, ,29.6,22.8,89,43,0.00,23.61
TROUGHTON ISLAND,29/08/2023,4.1,0.0, ,30.8,23.2,88,37,0.00,23.73
TROUGHTON ISLAND,30/08/2023, ,0.0, , ,23.5,89,48,0.00,23.80
TROUGHTON ISLAND,31/08/2023, , , , , ,88,62,0.00,23.83
Totals:,,28.1,0, ,,,,,, 
